energy,diameter,dfec_lynch,dfec_structure
22,6.88282828283,14894.6884267,6932.04714049
22,6.96262626263,14870.9142998,7036.8523134
22,7.04242424242,14845.8408157,7110.31232277
22,7.12222222222,14819.5537832,7141.5793805
22,7.20202020202,14792.1339706,7121.36401632
22,7.28181818182,14763.6574019,7048.48491554
22,7.36161616162,14734.1956655,6932.66961686
22,7.44141414141,14703.8161167,6793.0514164
22,7.52121212121,14672.582229,6653.69421552
22,7.60101010101,14640.5538008,6538.51632651
22,7.68080808081,14607.7871437,6467.07967845
22,7.76060606061,14574.3353261,6451.51361368
22,7.8404040404,14540.2483966,6494.67325443
22,7.9202020202,14505.5735056,6589.57197935
22,8.0,14470.3550992,6719.95262302
23,0.166,517.227140819,121.998706598
23,0.261,816.895324568,195.623049761
23,0.507,1590.39234386,382.815962207
23,0.69,2165.24467085,518.136307189
23,0.89,2793.35125089,669.254863953
23,1.18,3703.97508887,879.487189755
23,1.54,4834.30431735,1121.32153098
23,1.7,5336.6550787,1222.15847109
23,1.86,5838.99936469,1427.13685491
23,3.62,11246.7142442,2690.78609556
23,7.75,12618.6983566,6036.76065545
23,0.1,307.533078283,68.9510365647
23,0.179797979798,560.628640489,132.556964741
23,0.259595959596,812.47503993,194.541594012
23,0.339393939394,1063.52300343,255.709911518
23,0.419191919192,1314.44907232,316.860785787
23,0.49898989899,1565.21510122,376.394648553
23,0.578787878788,1815.91695852,436.024572784
23,0.658585858586,2066.58520951,498.643395533
23,0.738383838384,2317.20667047,563.241563034
23,0.818181818182,2567.82235409,616.307454091
23,0.89797979798,2818.41098562,677.785515852
23,0.977777777778,3068.99434936,758.208560999
23,1.05757575758,3319.56675173,793.650959383
23,1.13737373737,3570.13014437,837.103536636
23,1.21717171717,3820.69162362,924.369362046
23,1.29696969697,4071.24393835,1021.0463555
23,1.37676767677,4321.79629458,1085.00289923
23,1.45656565657,4572.3426899,1109.28469853
23,1.53636363636,4822.88745125,1120.53128488
23,1.61616161616,5073.43025456,1151.98728688
23,1.69595959596,5323.96958928,1217.97735847
23,1.77575757576,5574.50918668,1311.8461997
23,1.85555555556,5825.0452413,1420.89827423
23,1.93535353535,6075.58155479,1531.95480661
23,2.01515151515,6326.11586105,1635.81348685
23,2.09494949495,6576.6491434,1723.75728804
23,2.17474747475,6827.1821995,1794.24510304
23,2.25454545455,7077.71325574,1841.914316
23,2.33434343434,7328.24492013,1875.06416498
23,2.41414141414,7578.77473212,1886.47446763
23,2.49393939394,7829.30469708,1889.89043744
23,2.57373737374,8079.83393551,1887.94253218
23,2.65353535354,8330.36225522,1876.23303705
23,2.73333333333,8580.89105917,1873.25145796
23,2.81313131313,8831.4181959,1880.69826832
23,2.89292929293,9081.94623158,1891.0758336
23,2.97272727273,9332.47293362,1916.92296966
23,3.05252525253,9582.99963308,1965.51380107
23,3.13232323232,9833.52694251,2028.71294374
23,3.21212121212,10084.0501906,2108.78118355
23,3.29191919192,10333.3323245,2210.25097241
23,3.37171717172,10574.7040529,2320.34524813
23,3.45151515152,10804.554584,2433.29793795
23,3.53131313131,11021.4679411,2553.86405164
23,3.61111111111,11224.8949986,2677.21950698
23,3.69090909091,11414.7676135,2797.31289254
23,3.77070707071,11591.3049176,2918.10938625
23,3.85050505051,11754.900625,3047.81686556
23,3.9303030303,11906.0552879,3178.50192802
23,4.0101010101,12045.3295172,3288.77159884
23,4.0898989899,12173.314923,3379.36084846
23,4.1696969697,12290.6132298,3477.19152596
23,4.24949494949,12397.8226472,3599.54307089
